epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
139,18589.1,1.46938,0.9641,1.07513,0.40935,0.3286,0.26811,0.10442,2.40203,2.18466,1.63598,0.0010892,0.0010892,0.0010892
140,18708.8,1.46593,0.95871,1.06455,0.46317,0.3211,0.28009,0.10548,2.45186,2.09604,1.66633,0.0010826,0.0010826,0.0010826
141,18828.6,1.39351,0.92917,1.04433,0.44393,0.28125,0.25146,0.09158,2.52685,2.35774,1.69532,0.001076,0.001076,0.001076
142,18948.5,1.42641,0.9309,1.05554,0.439,0.33049,0.27459,0.1042,2.43553,2.18675,1.65746,0.0010694,0.0010694,0.0010694
143,19068.3,1.42325,0.935,1.05754,0.50422,0.32292,0.29288,0.11474,2.3819,2.1892,1.62845,0.0010628,0.0010628,0.0010628
144,19187.7,1.43883,0.93557,1.04819,0.41952,0.33523,0.27673,0.1096,2.38072,2.23744,1.65464,0.0010562,0.0010562,0.0010562
145,19307.9,1.37586,0.91381,1.04353,0.42277,0.3125,0.25711,0.09734,2.47849,2.19539,1.71972,0.0010496,0.0010496,0.0010496
146,19427.4,1.41257,0.92803,1.04631,0.44972,0.31345,0.27451,0.10322,2.4842,2.2189,1.71887,0.001043,0.001043,0.001043
147,19547,1.37098,0.89366,1.04624,0.41322,0.3428,0.26788,0.0997,2.48124,2.14963,1.70697,0.0010364,0.0010364,0.0010364
148,19666.9,1.3286,0.88102,1.04123,0.41192,0.34227,0.2829,0.10728,2.41715,2.21382,1.64946,0.0010298,0.0010298,0.0010298
149,19787.4,1.36578,0.89308,1.04043,0.46956,0.32008,0.28017,0.11032,2.38163,2.2798,1.62916,0.0010232,0.0010232,0.0010232
150,19907,1.41843,0.92021,1.04673,0.42387,0.31155,0.26796,0.10322,2.39763,2.31289,1.64424,0.0010166,0.0010166,0.0010166
151,20026.7,1.3793,0.88359,1.04571,0.45364,0.30492,0.26366,0.10555,2.423,2.28339,1.63383,0.00101,0.00101,0.00101
152,20146.3,1.34327,0.87267,1.04359,0.45746,0.28125,0.26664,0.10508,2.4105,2.28267,1.6505,0.0010034,0.0010034,0.0010034
153,20266.8,1.33687,0.88159,1.02496,0.4664,0.30492,0.27747,0.11037,2.37827,2.31119,1.63948,0.0009968,0.0009968,0.0009968
154,20387,1.31238,0.85645,1.03575,0.47349,0.29545,0.27461,0.10679,2.39693,2.21636,1.65282,0.0009902,0.0009902,0.0009902
155,20507.1,1.37512,0.9032,1.04336,0.43312,0.3286,0.2703,0.10402,2.36366,2.19484,1.62437,0.0009836,0.0009836,0.0009836
156,20626.7,1.33359,0.86998,1.04097,0.40695,0.29356,0.24611,0.09405,2.4228,2.37856,1.6323,0.000977,0.000977,0.000977
157,20747,1.37283,0.90014,1.03215,0.46482,0.31061,0.26347,0.09952,2.41621,2.27011,1.6684,0.0009704,0.0009704,0.0009704
158,20866.3,1.34061,0.8895,1.02212,0.45489,0.32005,0.2783,0.10814,2.38032,2.27191,1.66442,0.0009638,0.0009638,0.0009638
159,20985.9,1.34905,0.87435,1.02277,0.45142,0.33049,0.28061,0.11015,2.36359,2.14878,1.63109,0.0009572,0.0009572,0.0009572
160,21105.4,1.31366,0.8631,1.01655,0.42679,0.33428,0.27501,0.10776,2.38398,2.32391,1.62002,0.0009506,0.0009506,0.0009506
161,21224.5,1.33571,0.88876,1.02657,0.45448,0.29924,0.2642,0.10435,2.39864,2.25231,1.6868,0.000944,0.000944,0.000944
162,21342.9,1.34815,0.87327,1.02377,0.4411,0.27877,0.24479,0.09495,2.44999,2.37866,1.70756,0.0009374,0.0009374,0.0009374
163,21461.4,1.36754,0.88595,1.04027,0.49735,0.27454,0.26083,0.09921,2.42469,2.28998,1.71025,0.0009308,0.0009308,0.0009308
164,21581.2,1.28829,0.83618,1.02058,0.45415,0.29388,0.2592,0.10091,2.40102,2.40171,1.67301,0.0009242,0.0009242,0.0009242
165,21700.9,1.36515,0.86806,1.02733,0.39787,0.28977,0.22785,0.08754,2.46934,2.44574,1.68502,0.0009176,0.0009176,0.0009176
166,21820.1,1.3374,0.85872,1.02314,0.42649,0.32102,0.25745,0.095,2.453,2.20952,1.70192,0.000911,0.000911,0.000911
167,21940.2,1.29723,0.84,1.00799,0.49109,0.29425,0.27867,0.10802,2.41918,2.25336,1.68471,0.0009044,0.0009044,0.0009044
168,22059.9,1.29375,0.85267,1.01234,0.45329,0.34626,0.29353,0.11554,2.39124,2.24342,1.68097,0.0008978,0.0008978,0.0008978
169,22179.7,1.27015,0.82903,0.99682,0.40483,0.3008,0.24757,0.09504,2.43548,2.45838,1.65463,0.0008912,0.0008912,0.0008912
170,22298.1,1.33891,0.8552,1.00195,0.42442,0.32386,0.26652,0.10311,2.42688,2.36951,1.65987,0.0008846,0.0008846,0.0008846
171,22416.9,1.22988,0.81695,0.986,0.47297,0.30398,0.27276,0.10878,2.39757,2.35585,1.67306,0.000878,0.000878,0.000878
172,22536.3,1.27633,0.81984,1.00074,0.4205,0.29735,0.2492,0.09376,2.45172,2.43138,1.68419,0.0008714,0.0008714,0.0008714
173,22655.7,1.31301,0.8443,1.01316,0.44243,0.32197,0.27679,0.10635,2.39493,2.19665,1.66145,0.0008648,0.0008648,0.0008648
174,22775.3,1.28448,0.82564,0.98222,0.46203,0.31629,0.27822,0.10709,2.39868,2.24264,1.6715,0.0008582,0.0008582,0.0008582
175,22895.4,1.31396,0.81589,1.01836,0.43686,0.32197,0.27264,0.10403,2.44962,2.3568,1.70768,0.0008516,0.0008516,0.0008516
176,23014.9,1.28599,0.82681,1.02274,0.43823,0.30114,0.25474,0.09826,2.42814,2.28679,1.68652,0.000845,0.000845,0.000845
177,23135.1,1.34628,0.88283,1.035,0.42287,0.30966,0.25841,0.10167,2.43172,2.38007,1.66994,0.0008384,0.0008384,0.0008384
178,23254.6,1.31358,0.83386,1.00521,0.39867,0.31345,0.25923,0.10039,2.42943,2.31824,1.65714,0.0008318,0.0008318,0.0008318
179,23374.5,1.27922,0.82407,0.9983,0.44286,0.28125,0.24837,0.09356,2.45373,2.44517,1.67284,0.0008252,0.0008252,0.0008252
180,23493.7,1.29221,0.82204,1.01908,0.48339,0.32008,0.28519,0.10922,2.42971,2.20786,1.67704,0.0008186,0.0008186,0.0008186
181,23613.5,1.28101,0.80857,1.00846,0.433,0.33428,0.28584,0.11175,2.41931,2.18539,1.68411,0.000812,0.000812,0.000812
182,23732.3,1.27162,0.79354,1.00157,0.43381,0.32481,0.26962,0.10364,2.45788,2.2229,1.72973,0.0008054,0.0008054,0.0008054
